dyn  n   ratio     sigma[cm2] 
0     0          0          0
1     0          0          0
2     0          0          0
3     0          0          0
4     0          0          0
5     0          0          0
6     0          0          0
7     0          0          0
8 1000000          1 8.65493e-40
9     0          0          0
