dyn  n   ratio     sigma[cm2] 
0 756351    0.15127 4.49258e-39
1     0          0          0
2 1213613   0.242723 7.20863e-39
3     0          0          0
4 3030036   0.606007 1.79978e-38
5     0          0          0
6     0          0          0
7     0          0          0
8     0          0          0
9     0          0          0
