dyn  n   ratio     sigma[cm2] 
0 727430   0.145486 4.49252e-39
1     0          0          0
2 1166190   0.233238 7.20226e-39
3     0          0          0
4 2912573   0.582514 1.79877e-38
5     0          0          0
6     0          0          0
7     0          0          0
8 193807  0.0387614 1.19693e-39
9     0          0          0
