{305.4706495850406, 0.1}	{335.36567215682106, 0.1}
{251.4232213564077, 0.2}	{264.75507177247255, 0.2}
{239.12573154072723, 0.30000000000000004}	{289.60112410576903, 0.30000000000000004}
