dyn  n   ratio     sigma[cm2] 
0     0          0          0
1     0          0          0
2     0          0          0
3     0          0          0
4     0          0          0
5     0          0          0
6     0          0          0
7     0          0          0
8 500000          1 2.04115e-40
9     0          0          0
