dyn  n   ratio     sigma[cm2] 
0 283843   0.567686 3.59042e-39
1     0          0          0
2 140784   0.281568 1.78082e-39
3     0          0          0
4 75373   0.150747 9.53422e-40
5     0          0          0
6     0          0          0
7     0          0          0
8     0          0          0
9     0          0          0
