dyn  n   ratio     sigma[cm2] 
0 709682   0.141936 4.16934e-39
1     0          0          0
2 1226766   0.245353 7.20719e-39
3     0          0          0
4 3063552    0.61271 1.79982e-38
5     0          0          0
6     0          0          0
7     0          0          0
8     0          0          0
9     0          0          0
