dyn  n   ratio     sigma[cm2] 
0 682283   0.136457 4.17099e-39
1     0          0          0
2 1178667   0.235733 7.20552e-39
3     0          0          0
4 2943248    0.58865 1.79929e-38
5     0          0          0
6     0          0          0
7     0          0          0
8 195802  0.0391604 1.19699e-39
9     0          0          0
