dyn  n   ratio     sigma[cm2] 
0 333845   0.667691 9.71966e-40
1     0          0          0
2 131546   0.263091 3.82985e-40
3     0          0          0
4 34609  0.0692182 1.00762e-40
5     0          0          0
6     0          0          0
7     0          0          0
8     0          0          0
9     0          0          0
