8.82332e-41	2.42709e-40	3.22662e-40	2.31239e-40	1.08595e-42	0	
1.14296e-40	2.98907e-40	4.02479e-40	3.46281e-40	5.19219e-41	0	
1.19997e-40	3.23952e-40	4.2094e-40	3.73023e-40	8.36179e-41	2.44338e-43	
1.0045e-40	2.50447e-40	3.36236e-40	2.94903e-40	7.4591e-41	6.51568e-43	
6.56998e-41	1.64725e-40	2.21805e-40	1.86579e-40	4.84604e-41	2.03615e-43	
2.91848e-41	7.75774e-41	9.2577e-41	8.11067e-41	2.23637e-41	3.25784e-43	
1.06559e-41	3.31893e-41	3.87547e-41	3.63114e-41	1.14024e-41	1.83254e-43	
6.17633e-42	1.5882e-41	2.20583e-41	2.09893e-41	6.92291e-42	9.16268e-44	
2.98636e-42	8.39912e-42	1.24545e-41	1.1114e-41	4.24198e-42	1.22169e-43	
1.46603e-42	4.21483e-42	5.67408e-42	5.85054e-42	2.49768e-42	4.88676e-44	
